D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca lateralis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres
0.031187565356116602,0.024770212959703896,0.0225107181591838,0.015440731645085132,0.03197474507613901,0.015735784162482242,0.018077994896691634,0.017969992632696358,0.0016299396785023834,0.007333088108091993,0.011972247269626334,0.003898643788817968,0.021996826307166678,0.019824711912306222,0.016996314357832804,0.006170817314925342,0,0.0032203280026843785,0.005787196149973112,7.04437652512383e-4,0.004033046697112719,0.0069320155314347345,0.04140953316116376,0.010678007189888556,0.023405475063800217,6.882547906372293e-4,0.002221711471474168,8.984989388068732e-4,0.05109742319750573,0.03161033327945749,0.04384701950530594,0.014298253598367524,0.0178631949492337,0.013022488140684537,0.005049820188293259,0.013902099746685393,0.009683598279892984,0.036790224997067245,0.03265441343878678,0.01786690342724916,0.006977668797668811,0.008310556102291684,0.024683736641781553,0.010198575390074635,0.04792568744538045,0.03211137080833766,0.02442576261846906,0.08119575640919081,0.02205521768030424,0.018428020751268367,0.009631652152520384,0.02782559648388308,0.006149776163971764,0.0027986702651842457,0.022127341266287036,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Oligocottus;Oligocottus snyderi
0.9881127450746615,0,0,0,0,0,0,0,0,0,0.011887254925338514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Stenella;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis argus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gymnogobius;Gymnogobius urotaenia
0,0,0,0.7041790373891114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1551142723684241,0,0,0,0,0,0,0,0.14070669024246452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;Bison bison
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Charadriidae;Charadrius;Charadrius placidus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Thalasseus;Thalasseus maximus
0.019830114588215885,0,0,0.05610093410240251,0,0,0,0,0,0.05809986652142487,0,0,0.009574890601591135,0,0,0,0,0,0,0,0,0,0,0,0.04668357155521422,0,0,0,0,0,0,0,0.04727579506611225,0,0,0,0.07424570580305981,0,0,0,0,0.21837698110330855,0,0,0,0.18219914625721073,0,0,0,0.12857192026702988,0,0.10506315191552416,0.04551030568908364,0.00846761652982232,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;;;
0,0,0,0,0.3433633709087257,0,0,0,0,0,0.2382466140690189,0,0,0,0,0,0,0,0,0,0.060711392321641404,0,0,0,0,0,0,0,0,0,0,0.25849520500826256,0,0,0.03806778320767375,0,0.06111563448467763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis
0,0,0,0.18501549472231527,0,0,0,0,0,0,0,0,0,0,0,0.23817845474163457,0,0.4343209989783397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14248505155771035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hyperprosopon;Hyperprosopon ellipticum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05977283632786488,0.9160416573235316,0.024185506348603454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Passeriformes;Certhiidae;Campylorhynchus;Campylorhynchus zonatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Zenaida;Zenaida macroura
0,0,0,0,0,0,0,0,0,0,0,0,0,0.07546685403867527,0.10542165769931985,0.08158829772792485,0.04713702155341095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18817557949254377,0.24469140409483275,0.17304613570259278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014997331760891375,0.05271370929837386,0.01676200863143453,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Sterna;Sterna elegans
0.017999215847666804,0.03224861321591217,0.051975074120089185,0.016158896885155857,0.011543757034459892,0.0174723539324398,0.021707096144993457,0.014144430272213295,0.001960622849520429,0.011851120453119163,0.01390748807423037,0.011177703571165539,0.008458386021231409,0.009049850156228147,0.0322149633487472,0.015170438320259567,0.007079787747929286,0.011804353081968668,0.029687567955102603,0.028843874295424246,0.012991002997409849,0.0021735175643799198,0.023789774690390727,0.005198172947193603,0.019269262457280615,0.009282168273831014,0.019580537931110423,0.015759218307225403,0.0328550795082577,0.0237167268306001,0.036009819357738136,0.011117113499581303,0.005929895987456367,0.01562897511344534,0.01805769858075139,0.014209112282086536,0.015878252213569668,0.06560214982760602,0.022798875886631556,0.03238188628522772,0.0030792362629900785,0.006391208058009825,0.0020104299564602194,0.03270074151239215,0.045067341277256846,0.023922744587347933,0.006221588054370412,0.018348567242122783,0.024902886875938047,0.005898369864707899,0.009953610260110391,0.00393035746738943,0.015413943541808448,0.009380846156143395,0.02609329501332162,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis
0,0.9330200034407746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06697999655922539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Nannopterum;Nannopterum brasilianus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3190890308892217,0.07836976235567154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3990011736233418,0.20354003313176494,0,0,0,Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40644909746055,0,0.59355090253945,0,0,0,0,Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca fascicularis
0,0,0,0,0.40400390116178914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4449953175404615,0,0,0,0,0,0,0,0,0,0.15100078129774935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Lagenorhynchus;Lagenorhynchus obliquidens
